,G18USSRCRU
8492,7
8476,68
8470,111
8480,112
8055,21
8723,1401
8466,24
8489,159
8599,0
5970,685
782,308
6609,116
6608,430
1132,25
282,171
1131,12
5969,132
283,75
2038,142
284,136
2037,174
285,26
2039,48
286,66
289,117
291,39
2040,24
290,70
292,31
287,84
288,64
294,1176
1134,829
2041,157
1133,890
298,427
299,307
293,439
301,347
300,153
296,494
297,920
302,365
8060,311
303,139
304,831
2042,1196
295,411
2043,999
306,356
6610,651
8062,196
3717,370
8063,168
8498,489
307,182
3716,595
305,290
8061,219
3715,393
3015,330
6888,840
311,784
309,1145
7626,423
2045,1043
1136,497
2044,281
308,329
1135,590
783,1311
310,674
4012,209
8064,758
8065,405
2047,280
2046,339
2048,257
312,899
784,463
1137,1782
313,1390
2052,113
6616,174
3725,284
3722,641
3724,194
6905,23
6906,0
4605,27
3718,12
2049,36
4609,259
4608,0
4607,0
6904,0
4606,0
4966,0
4967,0
4604,43
4602,292
6614,406
6611,420
6615,573
2050,146
4600,255
3720,256
6613,357
3721,251
4601,150
2051,77
4603,0
4947,23
3719,106
3723,280
7720,332
6612,350
4968,2
6907,2
4611,13
4969,0
4970,0
4610,50
2061,42
2060,140
3018,9
2053,117
1146,121
1139,217
2057,128
1138,70
1145,9
314,42
3019,145
3020,581
3017,6
1141,46
1142,54
1144,330
2059,235
1143,146
3726,274
3016,20
2055,58
2058,125
2054,133
2056,637
1140,513
3021,1042
3024,889
3022,969
3027,802
3026,75
3023,356
3025,240
3028,367
1151,165
3031,307
1155,612
1167,40
1171,64
1170,32
1172,35
1176,142
1182,97
1179,153
1184,355
1180,59
1148,214
1169,256
2066,203
3032,350
2069,280
2070,211
1150,309
2071,263
4027,246
4029,50
4031,98
4032,95
4030,574
1187,236
4036,269
4035,669
2075,289
2076,54
2078,483
2077,71
4039,51
2079,319
3728,362
1173,90
1177,153
2080,126
4028,298
2082,389
2081,96
3730,126
2072,884
1174,127
2084,379
1185,68
2067,217
2087,106
4026,836
4025,132
1149,735
2063,176
1156,527
4034,446
4040,450
1186,152
4033,627
3029,58
2064,92
2085,289
1178,307
1168,187
4037,532
1153,404
3030,828
1157,920
2062,134
1181,249
1183,66
2083,218
1147,388
2088,492
8,368
2068,197
1166,182
1175,183
2073,579
3727,616
2074,1184
1154,272
2065,164
4024,235
4041,491
3729,269
2086,122
4038,543
4565,110
4567,99
4568,56
4563,605
1152,63
4564,616
4566,113
4569,317
6883,38
6884,25
1989,8
1990,378
1991,57
1992,0
3967,0
1189,675
1190,920
4042,420
1188,734
4043,275
1191,50
4044,207
6617,557
4045,357
315,173
3731,400
3732,173
7182,1336
1192,175
7184,164
1193,380
1195,248
1194,776
1196,412
7181,251
1199,307
1198,944
7183,297
1200,245
7185,1421
1201,286
1197,227
1202,141
7186,423
1203,115
4046,120
4047,23
4049,141
4048,67
4051,375
4052,75
4050,87
1204,331
8069,290
8070,255
8073,164
8923,1796
8921,1205
8071,821
4053,941
8922,2170
8074,151
8072,2050
8924,936
8075,505
316,0
8621,198
8920,664
317,584
4058,563
4057,742
4060,1155
4054,233
4056,530
4055,658
4066,418
6995,383
4065,489
4064,303
4067,392
4068,713
1208,702
1206,463
4059,821
1207,130
4062,116
4069,108
4063,288
4061,700
1205,286
4070,364
318,171
1209,319
8076,343
8077,419
1210,326
4071,437
1212,402
1216,194
4072,383
1211,239
4076,151
4075,446
4074,164
4077,76
1217,95
1214,169
4078,505
1213,254
4073,169
1218,102
1215,222
1219,139
3733,154
5971,179
3735,34
3734,113
6618,61
2089,291
4079,349
1220,293
1221,217
4080,710
4084,515
4082,569
4083,754
4081,211
8149,860
8145,1015
8153,158
8079,690
8083,469
321,1591
4087,418
8091,994
8080,1630
8095,334
3736,1638
8097,757
8099,1714
8105,630
335,409
8082,1088
338,930
4086,366
4088,595
330,417
342,1304
331,1690
8118,280
350,364
8506,1616
344,461
329,823
355,731
7187,640
8131,1895
4089,809
357,870
8092,1563
8135,1022
3737,666
359,781
4085,922
8509,1776
364,669
324,1350
8129,1557
1223,630
8100,1440
8152,314
8078,987
345,545
8139,738
352,1017
353,878
8084,421
368,266
8504,608
341,815
370,642
369,750
8141,1933
8150,1331
8140,919
323,1304
8126,1021
8124,645
366,685
380,811
363,742
358,375
372,619
334,756
346,556
8146,1253
371,723
339,594
343,525
384,358
386,562
356,777
8133,1158
376,862
387,801
373,706
377,1046
381,735
319,714
8127,1816
360,731
365,781
8132,926
8136,1666
362,242
8107,1402
8089,1264
8143,692
8130,804
1222,127
8119,1119
378,854
8151,262
383,690
382,427
3969,66
8081,8
8121,1069
375,1132
347,264
361,318
337,389
326,589
8147,998
8148,773
8505,1205
8123,878
7188,1638
340,929
325,910
327,641
328,876
8104,1591
348,1127
388,1502
8122,1762
8093,1242
8134,569
8500,2022
8499,697
8088,825
8510,1233
8098,1356
8090,1034
320,2297
8120,1223
8085,1016
8096,2151
351,767
8128,660
8508,1283
8106,1030
385,690
8154,686
354,537
8155,1001
8501,1843
8125,986
374,873
349,746
8507,897
322,422
8087,1244
8086,510
3910,0
8142,1349
8111,370
379,411
367,12
8511,1559
7589,482
8094,848
8137,1115
8138,1104
8144,644
3738,1279
6879,192
4694,121
1770,143
8110,1069
333,482
8102,373
8103,1180
8101,1153
332,759
8113,823
8114,636
8115,1493
8116,1097
8503,282
8117,1210
8112,603
8108,618
8502,1247
8109,948
336,2403
1771,180
3901,542
3902,2
3891,48
6878,0
1783,19
3894,54
8624,240
8607,34
8606,362
3890,34
8668,159
7638,746
3893,381
8623,14
3904,416
8680,580
8669,279
8605,60
8622,645
7637,2
3905,2
3903,5
8785,1245
3970,145
8786,14
8773,588
8775,1241
8774,564
8776,250
8795,405
8800,1699
8801,921
8799,880
8798,1663
8843,678
8844,1887
8845,665
8846,1012
8847,848
8848,772
8864,1751
8849,832
8850,643
8851,2450
8852,902
8853,1199
393,295
392,102
4949,30
390,149
389,34
391,130
394,74
7395,857
7398,136
7189,321
7396,1351
6619,274
7191,617
7192,347
7193,273
7951,806
7397,157
7190,640
8156,1606
8602,1951
8161,1871
8162,1036
8165,2390
8168,2539
8886,1088
8512,1725
8513,469
8157,2128
8170,1748
8171,2651
8167,2625
8888,1088
8887,1020
8601,849
8160,1660
8159,212
8604,1204
8603,832
