CNTYVTD,VTDKEY,SlaughterR_18G_CCA 8,AshL_18G_CCA 8
"0370007",1019,1318,323
"0370009",1020,904,223
"0370010",1021,945,115
"0370011",1022,1246,108
"0370012",1023,1110,123
"0370013",1024,69,10
"0370014",1025,1160,188
"0370015",1026,270,22
"0370016",1027,653,47
"0370017",1028,767,65
"0370018",1029,1046,116
"0370019",1030,408,10
"037001A",1031,70,166
"037001B",1032,144,133
"0370020",1033,219,26
"0370021",1034,120,10
"0370022",1035,161,15
"0370024",1036,250,30
"0370025",1037,567,61
"0370027",1038,334,8
"0370028",1039,402,18
"0370029",1040,162,15
"037002A",1041,142,128
"037002B",1042,81,55
"037002C",1043,82,160
"037002D",1044,14,9
"0370030",1045,578,82
"037003A",1046,521,159
"037003B",1047,158,122
"037004A",1048,182,113
"037004B",1049,586,152
"037004C",1050,117,71
"037004D",1051,6,5
"037004E",1052,0,0
"037005A",1053,49,34
"037005B",1054,0,0
"037005C",1055,2011,320
"037006A",1056,923,155
"037006B",1057,1017,150
"037008A",1058,144,108
"037008B",1059,1213,173
"037008C",1060,547,46
"0390001",1061,1398,286
"0390002",1062,1605,249
"0390003",1063,1877,322
"0390004",1064,1329,187
"0390005",1065,791,113
"0390006",1066,645,54
"0390007",1067,350,209
"0390008",1068,459,63
"0390009",1069,298,73
"0390010",1070,451,39
"0390011",1071,1100,365
"0390012",1072,1239,401
"0390013",1073,1556,539
"0390014",1074,2125,286
"0390015",1075,1223,88
"0390016",1076,1590,338
"0390017",1077,531,244
"0390018",1078,1919,406
"0390019",1079,402,207
"0390020",1080,673,79
"0390021",1081,1188,708
"0390022",1082,1899,286
"0390023",1083,1581,298
"0390024",1084,1832,313
"0390025",1085,815,107
"0390026",1086,1132,488
"0390027",1087,906,318
"0390028",1088,1371,440
"0390029",1089,916,644
"0390030",1090,1550,170
"0390031",1091,534,45
"0390032",1092,1139,148
"0390033",1093,784,135
"0390034",1094,1725,290
"0390035",1095,797,71
"0390036",1096,717,244
"0390037",1097,1033,354
"0390038",1098,344,70
"0390039",1099,1356,323
"0390040",1100,1726,503
"0390041",1101,617,342
"0390042",1102,231,52
"0390043",1103,1627,361
"0390044",1104,1289,749
"0390045",1105,1454,314
"0390046",1106,1844,530
"0390047",1107,925,318
"0390048",1108,934,232
"0390049",1109,798,63
"0390050",1110,1494,1517
"0390051",1111,1676,296
"0390052",1112,1270,318
"0390053",1113,376,524
"0390054",1114,791,618
"0390055",1115,1222,210
"0390056",1116,1805,329
"0390057",1117,1391,182
"0390058",1118,984,481
"0390059",1119,867,924
"0390060",1120,1611,746
"0390061",1121,533,108
"0390062",1122,1016,687
"0390063",1123,673,941
"0390064",1124,15,5
"0390066",1125,498,501
"0390067",1126,731,814
"0390068",1127,784,754
"0410001",1128,1032,116
"0410002",1129,2552,460
"0410003",1130,334,81
"0410004",1131,106,179
"0410005",1132,873,98
"0410006",1133,509,38
"0410007",1134,890,84
"0410008",1135,438,280
"0410009",1136,471,203
"0410010",1137,1401,425
"0410011",1138,734,446
"0410012",1139,1668,487
"0410013",1140,923,248
"0410014",1141,328,297
"0410015",1142,1347,269
"0410016",1143,144,127
"0410017",1144,739,396
"0410018",1145,46,71
"0410019",1146,64,27
"0410020",1147,1113,644
"0410021",1148,376,318
"0410022",1149,68,41
"0410023",1150,32,4
"0410024",1151,771,338
"0410025",1152,60,106
"0410026",1153,1354,278
"0410027",1154,1712,223
"0410028",1155,207,19
"0410029",1156,356,83
"0410030",1157,529,240
"0410031",1158,1442,629
"0410032",1159,0,0
"0410033",1160,301,254
"0410034",1161,1117,703
"0410035",1162,1829,1179
"0410036",1163,1107,486
"0410037",1164,72,9
"0410038",1165,15,32
