CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"2790003",6010,260,41,8
"2790004",6011,37,0,1
"2790005",6012,151,35,7
"2790006",6013,121,32,3
"2790007",6014,43,3,1
"2790008",6015,771,159,35
"2790009",6016,313,118,20
"2790010",6017,159,26,10
"2790011",6018,299,46,7
"2790012",6019,87,11,4
"2810001",6020,737,255,34
"2810002",6021,1522,291,73
"2810003",6022,626,205,29
"2810004",6023,540,111,20
"2810005",6024,298,36,13
"2810006",6025,277,32,8
"2810007",6026,338,69,18
"2810008",6027,749,189,31
"2810009",6028,769,176,29
"2830001",6029,222,196,15
"2830002",6030,66,112,2
"2830003A",6031,94,184,6
"2830003B",6032,0,0,0
"2830004",6033,50,5,1
"2830005",6034,121,157,5
"2830006",6035,81,82,5
"283003A",6036,8,1,0
"2850001",6037,519,59,13
"2850002",6038,719,127,15
"2850007",6039,145,34,1
"2850008",6040,406,51,9
"2850009",6041,653,89,23
"2850011",6042,174,19,7
"2850012",6043,190,16,4
"2850015",6044,95,18,1
"2850016",6045,262,22,8
"2850017",6046,180,20,9
"2850019",6047,226,19,3
"2850020",6048,46,10,6
"2850023",6049,664,76,18
"2850026",6050,86,31,5
"2850027",6051,111,9,4
"2850029",6052,571,82,17
"2850030",6053,759,113,41
"2850031",6054,610,63,19
"2850032",6055,150,13,4
"2870101",6056,613,225,21
"2870102",6057,73,58,1
"2870103",6058,122,9,3
"2870201",6059,347,24,4
"2870202",6060,781,130,21
"2870203",6061,199,27,3
"2870301",6062,65,6,1
"2870302",6063,624,146,37
"2870303",6064,523,158,33
"2870304",6065,111,25,3
"2870401",6066,290,103,4
"2870402",6067,47,30,1
"2870403",6068,136,32,2
"2870404",6069,283,122,14
"2870405",6070,261,46,9
"2890001",6071,685,120,34
"2890002",6072,194,26,5
"2890003",6073,308,43,8
"2890004",6074,430,66,16
"2890005",6075,294,41,12
"2890006",6076,684,65,21
"2890007",6077,320,26,6
"2890008",6078,481,76,10
"2890009",6079,169,17,2
"2890010",6080,513,44,17
"2890011",6081,384,71,25
"2890012",6082,335,109,12
"2890013",6083,401,30,19
"2890014",6084,105,19,5
"289001A",6085,105,11,12
"289005A",6086,30,1,1
"289014A",6087,101,18,3
"2910001",6088,272,38,10
"2910002",6089,450,54,16
"2910003",6090,1021,102,30
"2910004",6091,243,48,4
"2910005",6092,878,187,37
"2910006",6093,422,43,12
"2910007",6094,531,241,27
"2910008",6095,873,116,48
"2910009",6096,1063,124,50
"2910010",6097,1120,303,54
"2910011",6098,214,180,8
"2910012",6099,470,149,19
"2910013",6100,245,18,5
"2910014",6101,202,37,6
"2910015",6102,173,44,9
"2910016",6103,186,21,7
"2910017",6104,237,27,8
"2910018",6105,140,389,8
"2910019",6106,595,232,33
"2910020",6107,25,336,2
"2910021",6108,1443,175,64
"2910022",6109,1164,367,54
"2910023",6110,584,219,29
"2910024",6111,306,51,17
"2910025",6112,405,46,23
"2910026",6113,797,185,39
"2910027",6114,142,19,5
"2910028",6115,299,32,12
"2910029",6116,513,71,21
"2910030",6117,549,231,26
"2930101",6118,627,217,25
"2930102",6119,321,27,12
"2930103",6120,336,70,13
"2930104",6121,376,59,6
"2930201",6122,185,96,5
"2930202",6123,57,159,2
"2930203",6124,34,67,2
"2930204",6125,228,50,10
"2930205",6126,156,79,5
"2930206",6127,195,30,0
"2930301",6128,532,166,24
"2930302",6129,216,68,8
"2930303",6130,76,13,4
"2930304",6131,309,52,7
"2930305",6132,145,28,4
"2930401",6133,428,280,14
"2930402",6134,211,25,8
"2930403",6135,160,28,7
"2930404",6136,227,22,4
"2930405",6137,173,18,11
"2930406",6138,101,18,4
"2950106",6139,127,12,8
"2950202",6140,81,5,1
"2950207A",6141,184,11,1
"2950207B",6142,1,0,0
"2950303",6143,226,26,3
"2950308",6144,80,9,2
"2950404",6145,185,32,5
"2950409",6146,51,7,3
"2970001",6147,205,27,5
"2970002",6148,365,82,27
"2970003",6149,209,134,15
"2970004",6150,365,75,23
"2970005",6151,164,16,9
"2970006",6152,112,16,3
"2970007",6153,15,4,0
"2970008",6154,70,7,2
"2970009",6155,319,88,14
"2970010",6156,194,27,10
"2970011",6157,41,1,2
"2970012",6158,78,7,6
"2970013",6159,265,33,11
"2970014",6160,460,84,20
"2990101",6161,159,40,18
"2990102",6162,318,69,9
"2990108",6163,486,133,26
"2990109",6164,1957,365,52
"2990203",6165,1059,225,42
"2990204",6166,411,120,31
"2990205",6167,332,88,17
"2990307",6168,1341,365,78
"2990410",6169,1803,414,129
"3010001",6170,14,2,0
"3010002",6171,6,3,0
"3010003",6172,15,4,0
"3010004",6173,3,4,2
"3030001",6174,517,758,44
"3030002A",6175,414,392,34
"3030002B",6176,0,0,0
"3030003",6177,279,744,37
"3030004",6178,78,262,11
"3030005",6179,108,221,12
"3030006A",6180,39,476,4
"3030006B",6181,0,0,0
"3030007",6182,902,289,75
"3030008",6183,369,741,56
"3030009",6184,968,433,51
"3030010",6185,147,257,32
"3030012",6186,829,289,42
"3030013",6187,615,297,58
"3030014",6188,304,236,35
"3030015",6189,494,513,45
"3030016",6190,277,278,32
"3030017",6191,136,216,22
"3030018",6192,239,311,33
"3030019",6193,194,433,21
"3030020",6194,30,422,7
"3030021",6195,514,351,37
"3030022",6196,621,334,44
"3030023",6197,460,275,33
"3030024",6198,383,380,36
"3030025",6199,262,356,25
"3030026",6200,316,496,24
"3030027",6201,747,550,57
"3030028",6202,891,455,57
"3030029",6203,403,345,29
"3030030",6204,868,449,68
"3030031A",6205,680,142,43
"3030031B",6206,0,0,0
"3030033",6207,1540,248,73
"3030034",6208,215,51,8
"3030035",6209,292,68,17
"3030036",6210,723,250,32
"3030038",6211,289,263,17
"3030039",6212,920,166,53
"3030040",6213,38,273,3
"3030041",6214,1013,217,51
"3030043",6215,240,25,17
"3030044",6216,526,144,27
"3030045",6217,166,47,8
"3030046",6218,1444,193,63
"3030047",6219,864,414,66
"3030049",6220,290,356,23
"3030050",6221,302,406,26
"3030051",6222,35,18,1
"3030052",6223,1403,476,75
"3030053",6224,748,455,74
"3030054",6225,1680,359,70
"3030056",6226,143,53,5
"3030057A",6227,837,370,48
"3030057B",6228,2,0,0
"3030058",6229,582,196,31
"3030059",6230,734,460,63
"3030060",6231,590,155,30
"3030062",6232,971,310,63
"3030063",6233,34,17,2
"3030065",6234,294,99,15
"3030066",6235,1341,270,42
