CNTYVTD,VTDKEY,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0294067",845,333,389
"0294068",846,74,137
"0294069",847,381,204
"0294070",848,402,1066
"0294071",849,739,145
"0294072",850,1185,425
"0294073",851,387,333
"0294074",852,469,392
"0294075",853,57,235
"0294076",854,348,787
"0294077",855,444,808
"0294078",856,538,152
"0294079",857,421,319
"0294080",858,303,577
"0294081",859,116,75
"0294082",860,87,525
"0294083",861,146,191
"0294084",862,43,133
"0294085",863,12,0
"0294086",864,136,81
"0294087",865,408,622
"0294088",866,542,1044
"0294089",867,642,743
"0294090",868,466,526
"0294091",869,175,354
"0294092",870,510,393
"0294093",871,544,630
"0294094",872,458,465
"0294095",873,438,421
"0294096",874,381,626
"0294097",875,388,442
"0294098",876,379,422
"0294099",877,216,338
"0294100",878,199,270
"0294101",879,298,182
"0294102",880,87,211
"0294103",881,0,0
"0294104",882,397,457
"0294105",883,567,451
"0294106",884,50,111
"0294107",885,373,380
"0294108",886,748,816
"0294109",887,139,242
"0294110",888,152,458
"0294111",889,10,107
"0294112",890,333,200
"0294113",891,52,247
"0294114",892,12,11
"0294115",893,62,47
"0294116",894,16,14
"0294117",895,155,159
"0294118",896,40,6
"0294119",897,81,248
"0294120",898,27,56
"0294121",899,57,33
"0294122",900,12,38
"0294123",901,17,56
"0294124",902,167,584
"0294125",903,8,25
"0294126",904,433,261
"0294127",905,10,12
"0294128",906,32,62
"0294129",907,33,15
"0294130",908,151,207
"0294131",909,52,102
"0294132",910,396,713
"0294133",911,15,2
"0294134",912,2,2
"0294135",913,0,0
"0294136",914,130,53
"0294137",915,49,7
"0294138",916,2,2
"0294139",917,0,0
"0294140",918,0,0
"0294141",919,13,80
"0294142",920,37,191
"0294143",921,389,1142
"0294144",922,203,93
"0294145",923,4,2
"0294146",924,5,12
"0294147",925,66,81
"0294148",926,41,47
"0294149",927,67,104
"0294150",928,240,492
"0294151",929,238,54
"0294152",930,370,516
"0294153",931,24,24
"0294154",932,153,199
"0294155",933,280,1060
"0294156",934,115,327
"0294157",935,166,660
"0294158",936,78,165
"0294159",937,4,3
"0294160",938,210,516
"0294161",939,20,188
"0294162",940,493,555
"0294163",941,331,643
"0294164",942,786,491
"0294165",943,37,17
"0294166",944,46,71
"0294167",945,6,7
"0294168",946,311,606
"0294169",947,112,84
"0294170",948,67,100
"0294171",949,358,324
"0294172",950,269,295
"0294173",951,427,428
"0294174",952,252,358
"0294175",953,0,0
"0294176",954,307,237
"0294177",955,1,18
"0294178",956,0,2
"0294179",957,788,749
"0294180",958,2,0
"0294181",959,0,0
"0294182",960,1,0
"0294183",961,12,43
"0294184",962,1,9
"0294185",963,2,0
"0294186",964,15,44
"0294187",965,0,0
"0294188",966,0,1
"0294189",967,93,266
"0294190",968,0,2
"0294191",969,0,0
"0294192",970,0,0
"0294193",971,5,13
"0294194",972,143,156
"0294195",973,0,0
"0294196",974,0,0
"0294197",975,1,4
"0294198",976,202,523
"0294199",977,199,300
"0294200",978,376,831
"0294201",979,7,2
"0294202",980,0,0
"0294203",981,40,149
"0294204",982,1,2
"0294205",983,31,26
"0294206",984,85,121
"0294207",985,12,2
"0294208",986,0,0
"0294209",987,23,4
"0294210",988,3,3
"0294211",989,1,19
"0294212",990,2,0
"0294213",991,0,1
"0310102",992,1066,318
"0310201",993,1112,365
"0310302",994,537,256
"0310303",995,296,74
"0310304",996,136,56
"0310401",997,1117,401
"0330004A",998,52,2
"0330004B",999,29,2
"033001A",1000,33,5
"033001B",1001,49,4
"033002AA",1002,53,4
"033002AB",1003,14,0
"033002B",1004,26,3
"033003A",1005,14,1
"033003B",1006,35,1
"0350001",1007,372,56
"0350002",1008,347,102
"0350003",1009,500,105
"0350004",1010,264,36
"0350005",1011,693,177
"0350006",1012,596,129
"0350007",1013,354,72
"0350008A",1014,1072,246
"0350008B",1015,1,0
"0350009",1016,443,109
"0350010",1017,631,149
"0350011",1018,424,81
"0370007",1019,1238,669
"0370009",1020,870,433
"0370010",1021,926,212
"0370011",1022,1225,186
"0370012",1023,1111,183
"0370013",1024,67,22
"0370014",1025,1131,444
"0370015",1026,277,32
"0370016",1027,644,88
"0370017",1028,753,124
"0370018",1029,1030,211
"0370019",1030,401,27
"037001A",1031,56,378
"037001B",1032,126,358
"0370020",1033,212,113
"0370021",1034,122,23
"0370022",1035,164,33
"0370024",1036,248,55
"0370025",1037,558,116
"0370027",1038,335,23
"0370028",1039,408,26
"0370029",1040,163,20
"037002A",1041,123,345
"037002B",1042,75,101
"037002C",1043,60,390
"037002D",1044,13,17
"0370030",1045,559,172
"037003A",1046,496,265
"037003B",1047,149,214
"037004A",1048,170,222
"037004B",1049,561,283
"037004C",1050,108,140
"037004D",1051,6,8
"037004E",1052,0,0
"037005A",1053,44,59
"037005B",1054,0,0
"037005C",1055,1971,536
"037006A",1056,899,302
"037006B",1057,997,257
"037008A",1058,135,234
"037008B",1059,1205,360
"037008C",1060,539,129
"0390001",1061,1318,587
"0390002",1062,1551,512
"0390003",1063,1801,567
"0390004",1064,1307,382
"0390005",1065,771,245
"0390006",1066,643,100
"0390007",1067,299,555
"0390008",1068,450,113
"0390009",1069,270,164
"0390010",1070,445,73
"0390011",1071,1028,632
"0390012",1072,1152,700
"0390013",1073,1427,978
"0390014",1074,2051,634
"0390015",1075,1203,151
"0390016",1076,1514,620
"0390017",1077,476,545
"0390018",1078,1835,745
"0390019",1079,364,420
"0390020",1080,654,158
"0390021",1081,1068,1279
"0390022",1082,1834,501
"0390023",1083,1495,608
"0390024",1084,1767,600
"0390025",1085,781,243
"0390026",1086,1063,871
"0390027",1087,824,649
"0390028",1088,1258,791
"0390029",1089,756,1262
"0390030",1090,1500,307
"0390031",1091,521,97
"0390032",1092,1125,274
"0390033",1093,758,327
"0390034",1094,1648,554
"0390035",1095,784,148
"0390036",1096,672,412
"0390037",1097,966,597
"0390038",1098,333,106
"0390039",1099,1277,612
"0390040",1100,1617,879
"0390041",1101,521,640
"0390042",1102,218,109
"0390043",1103,1560,629
"0390044",1104,1078,1419
"0390045",1105,1397,512
"0390046",1106,1739,913
"0390047",1107,850,567
